USUARIO | REPOSITORIO | DESCRIPCION | FECHA DE ACTUALIZACION | LENGUAJE | LIKES | TAGS | URL
android10|Android-CleanArchitecture|  |2017-03-07|Java|8.9|java,architectural,android-cleanarchitecture,android,android-application,android-development,android-architecture|https://github.com/android10/Android-CleanArchitecture
roughike|BottomBar|  |2017-06-21|Java|6.5|android,java,library,material-design,bottom-navigation|https://github.com/roughike/BottomBar
google|ExoPlayer|  |2017-06-24|Java|7|exoplayer,java,android,mediaplayer|https://github.com/google/ExoPlayer
mikepenz|MaterialDrawer|  |2017-06-18|Java|7.7|android,java,drawer,materialdrawer,navigation-drawer,material-design,material-ui,android-library,android-development,material-components,android-ui,material-theme,drawerlayout,drawer-support,mikepenz|https://github.com/mikepenz/MaterialDrawer
ReactiveX|RxJava|  |2017-06-24|Java|25.2|flow,reactive-streams,java,rxjava|https://github.com/ReactiveX/RxJava
deeplearning4j|deeplearning4j|  |2017-06-24|Java|6.9|intellij,hadoop,neural-nets,gpu,deeplearning4j,dl4j,java,spark,deeplearning|https://github.com/deeplearning4j/deeplearning4j
alibaba|dubbo|  |2017-06-22|Java|9.1|dubbo,java,distributed-systems,spring,high-performance,cluster,service-discovery,rpc,soa,service-registration,rpc-framework,service-consumer,service-provider,service-registry,service-oriented|https://github.com/alibaba/dubbo
elastic|elasticsearch|  |2017-06-24|Java|23.4|java,search-engine,elasticsearch|https://github.com/elastic/elasticsearch
alibaba|fastjson|  |2017-06-24|Java|9.5|fastjson,java,android,serialization,json,json-serialization,deserialization,json-parser,json-serializer,best-performance|https://github.com/alibaba/fastjson
jhipster|generator-jhipster|  |2017-06-24|JavaScript|7.3|java,docker,angular,webpack,generator,spring-boot,yeoman-generator|https://github.com/jhipster/generator-jhipster
facebook|infer|  |2017-06-23|OCaml|6.9|java,c,objective-c,cpp,static-code-analysis,static-analysis,code-quality|https://github.com/facebook/infer
kdn251|interviews|  |2017-05-31|Java|9.8|java,algorithm,algorithms,leetcode,interview,interviews,interview-practice,algorithm-competitions,leetcode-solutions,interview-questions,technical-coding-interview,algorithm-challenges,coding-interviews,coding-challenge,leetcode-questions,coding-challenges,leetcode-java,interview-prep,interview-preparation,coding-interview|https://github.com/kdn251/interviews
iluwatar|java-design-patterns|  |2017-06-15|Java|19.8|principles,java,design-patterns|https://github.com/iluwatar/java-design-patterns
winterbe|java8-tutorial|  |2017-06-12|Java|7.3|lambda-expressions,java,stream,parallel-streams,learning,tutorial,guide,java-8|https://github.com/winterbe/java8-tutorial
libgdx|libgdx|  |2017-06-23|Java|11.8|game,java,libgdx,android,windows,linux,ios,framework,html5,cross-platform,macosx,3d,2d|https://github.com/libgdx/libgdx
orhanobut|logger|  |2017-06-06|Java|6.7|android,java,log,logger,logcat,timber,pretty-printer,json-logging|https://github.com/orhanobut/logger
elastic|logstash|  |2017-06-24|Ruby|7.6|java,streaming,jruby,logging,real-time-processing,etl-framework|https://github.com/elastic/logstash
playframework|playframework|  |2017-06-23|Scala|9.5|scala,java,reactive,restful,web-framework,play,playframework|https://github.com/playframework/playframework
realm|realm-java|  |2017-06-24|Java|8|java,android,mobile,database,realtime-database,nosql-database,mobile-database|https://github.com/realm/realm-java
SeleniumHQ|selenium|  |2017-06-24|JavaScript|6.9|selenium,java,python,ruby,webdriver|https://github.com/SeleniumHQ/selenium
zxing|zxing|  |2017-06-16|Java|14.1|java,zxing,android,barcode,barcode-scanner|https://github.com/zxing/zxing
